,Graduated,ID,First_name,Last_name,State,Gender,Age,GPA,Days_missed
0,Yes,1,Wayne,Boyd,Florida,Male,19.0,3.50537634409,9.0
1,Yes,2,Ann,Matthews,Pennsylvania,Female,18.0,3.0,16.7755610973
2,Yes,3,George,Matthews,Texas,Male,17.0,3.50537634409,10.0
3,No,4,Jerry,Ramos,California,Male,15.0,2.0,28.0
4,No,5,Andrea,Carroll,North Carolina,Female,17.0517799353,2.0,29.0
5,Yes,6,Annie,Fisher,Virginia,Female,19.0,3.50537634409,5.0
6,No,7,Stephanie,Barnes,Oklahoma,Female,17.0517799353,3.0,20.0
7,Yes,8,Janet,Jenkins,Louisiana,Female,15.0,4.0,20.0
8,No,9,Betty,Miller,,Female,17.0,3.0,23.0
9,Yes,10,Henry,Woods,Colorado,Male,19.0,4.0,14.0
10,Yes,11,Stephanie,Harris,,Female,16.9588744589,3.50537634409,3.0
11,No,12,Samuel,George,Georgia,Male,15.0,3.0,13.0
12,Yes,13,Todd,Phillips,Indiana,Male,16.9588744589,2.0,3.0
13,No,14,Nicholas,Rice,Florida,Male,17.0517799353,2.0,8.0
14,No,15,Jacqueline,Wallace,New York,Female,17.0517799353,2.0,26.0
15,No,16,Phyllis,Burton,Texas,Female,16.0,3.0,18.0
16,Yes,17,Sandra,Hudson,,Female,16.9588744589,4.0,20.0
17,No,18,Karen,Bell,Mississippi,Female,17.0,3.0,10.0
18,Yes,19,Lori,Patterson,New York,Female,18.0,3.50537634409,17.0
19,Yes,20,Ann,Banks,Pennsylvania,Female,15.0,4.0,18.0
20,Yes,21,Sara,Williams,,Female,17.0,3.50537634409,24.0
21,Yes,22,Benjamin,Butler,Connecticut,Male,18.0,3.50537634409,4.0
22,No,23,Lori,Lopez,,Female,19.0,3.0,15.0
23,No,24,Ryan,Porter,New York,Male,15.0,2.0,10.0
24,No,25,Anthony,Burke,Texas,Male,16.0,2.0,14.0
25,Yes,26,Katherine,Rodriguez,Arizona,Female,16.0,4.0,3.0
26,No,27,Harry,Larson,,Male,18.0,3.0,15.0
27,Yes,28,Joyce,Patterson,Virginia,Female,18.0,4.0,22.0
28,Yes,29,Jonathan,Wells,Indiana,Male,19.0,3.50537634409,20.0
29,No,30,Jesse,Hamilton,New York,Male,19.0,2.0,27.0
30,No,31,Susan,Evans,South Dakota,Female,15.0,2.0,29.0
31,No,32,Kathleen,Lee,New Jersey,Female,17.0,3.0,13.0
32,Yes,33,Steven,Cooper,Arizona,Male,18.0,3.50537634409,20.0
33,No,34,Shawn,Fisher,Indiana,Male,17.0517799353,2.0,17.0
34,Yes,35,Arthur,Campbell,Texas,Male,16.9588744589,3.50537634409,32.0
35,Yes,36,Harold,Flores,New Mexico,Male,19.0,3.50537634409,16.7755610973
36,No,37,Bonnie,Parker,California,Female,19.0,2.0,29.0
37,Yes,38,Doris,Holmes,California,Female,15.0,4.0,20.0
38,Yes,39,Anna,Bradley,Virginia,Female,19.0,4.0,16.7755610973
39,Yes,40,Ruth,Lopez,Ohio,Female,16.0,4.0,16.7755610973
40,Yes,41,Wanda,Richards,Texas,Female,16.0,3.50537634409,7.0
41,Yes,42,Jimmy,Kelly,Louisiana,Male,16.9588744589,3.50537634409,10.0
42,Yes,43,Marilyn,Marshall,New York,Female,16.9588744589,3.50537634409,16.7755610973
43,Yes,44,Donna,Jackson,Ohio,Female,19.0,4.0,18.0
44,Yes,45,Judy,Boyd,Louisiana,Female,18.0,3.50537634409,33.0
45,No,46,Irene,Johnson,Utah,Female,18.0,2.0,9.0
46,Yes,47,Frank,Ortiz,Florida,Male,16.0,3.50537634409,8.0
47,No,48,Mark,Wheeler,California,Male,16.0,2.0,13.0
48,No,49,Aaron,Reed,Washington,Male,17.0517799353,2.0,21.0
49,Yes,50,Christina,Little,Ohio,Female,15.0,3.50537634409,21.0
50,Yes,51,Diana,Ross,Texas,Female,16.9588744589,2.0,16.7755610973
51,Yes,52,William,Cooper,New York,Male,18.0,2.0,16.7755610973
52,No,53,Joseph,Nichols,Virginia,Male,19.0,3.0,34.0
53,Yes,54,Stephen,Bailey,Connecticut,Male,19.0,4.0,16.0
54,Yes,55,Harold,Powell,Tennessee,Male,16.9588744589,3.50537634409,31.0
55,No,56,Kathleen,Cole,Texas,Female,16.0,3.0,5.0
56,Yes,57,Marilyn,Simmons,South Carolina,Female,18.0,4.0,33.0
57,Yes,58,Susan,Roberts,Pennsylvania,Female,17.0,3.0,16.7755610973
58,No,59,Samuel,Elliott,Connecticut,Male,15.0,2.0,9.0
59,No,60,Irene,Collins,District of Columbia,Female,17.0517799353,3.0,9.0
60,Yes,61,Joshua,Lewis,Missouri,Male,18.0,3.50537634409,15.0
61,Yes,62,Raymond,Hudson,Nebraska,Male,15.0,4.0,7.0
62,No,63,Philip,Gomez,Florida,Male,18.0,2.0,7.0
63,No,64,Christopher,Wood,Arizona,Male,17.0517799353,3.0,32.0
64,No,65,Sarah,Garcia,Florida,Female,19.0,2.0,6.0
65,No,66,Antonio,Palmer,Missouri,Male,17.0517799353,2.0,12.0
66,No,67,Ralph,Jacobs,Florida,Male,18.0,2.0,14.0
67,Yes,68,Patrick,Washington,Virginia,Male,16.9588744589,3.50537634409,4.0
